0 START simple_strategy 20
284 MOVE 20 1
285 MOVE 0 1
286 MOVE 0 0
287 MOVE 20 0
288 MOVE 18 4
289 MOVE 8 4
290 MOVE 8 2
291 MOVE 18 2
292 MOVE 15 9
293 MOVE 11 9
294 MOVE 2 9
295 MOVE 2 6
296 MOVE 11 6
297 MOVE 15 6
298 MOVE 10 16
299 MOVE 6 16
300 MOVE 6 12
301 MOVE 10 12
302 MOVE 20 1
303 MOVE 0 1
304 MOVE 0 0
305 MOVE 20 0
306 MOVE 18 4
307 ADD 21 12
308 MOVE 20 1
309 MOVE 0 1
310 MOVE 0 0
311 MOVE 20 0
312 MOVE 8 4
313 MOVE 8 2
314 MOVE 18 2
315 MOVE 15 9
316 MOVE 11 9
317 MOVE 2 9
318 MOVE 2 6
319 MOVE 11 6
320 MOVE 15 6
321 REMOVE 21
321 CASH 163
322 MOVE 10 16
323 MOVE 6 16
324 MOVE 6 12
325 MOVE 10 12
326 MOVE 20 1
327 MOVE 0 1
328 MOVE 0 0
329 MOVE 20 0
330 MOVE 18 4
331 MOVE 8 4
332 MOVE 8 2
333 MOVE 18 2
334 MOVE 15 9
335 MOVE 11 9
336 MOVE 2 9
337 MOVE 2 6
338 MOVE 11 6
339 MOVE 15 6
340 MOVE 10 16
341 MOVE 6 16
342 MOVE 6 12
343 MOVE 10 12
344 MOVE 20 1
345 MOVE 0 1
346 MOVE 0 0
347 MOVE 20 0
348 REMOVE 18
348 CASH 184
349 MOVE 8 4
350 MOVE 8 2
351 MOVE 15 9
352 MOVE 11 9
353 ADD 22 2
354 MOVE 20 1
355 MOVE 0 1
356 MOVE 0 0
357 MOVE 20 0
358 MOVE 22 4
359 MOVE 8 4
360 MOVE 8 2
361 MOVE 22 2
362 MOVE 2 9
363 ADD 23 12
364 MOVE 20 1
365 MOVE 0 1
366 MOVE 0 0
367 MOVE 20 0
368 MOVE 22 4
369 MOVE 8 4
370 MOVE 8 2
371 MOVE 22 2
372 MOVE 2 6
373 MOVE 11 6
374 MOVE 15 6
375 MOVE 23 16
376 MOVE 10 16
377 MOVE 6 16
378 MOVE 6 12
379 MOVE 10 12
380 MOVE 23 12
381 MOVE 20 1
382 MOVE 0 1
383 MOVE 0 0
384 MOVE 20 0
385 MOVE 22 4
386 MOVE 8 4
387 MOVE 8 2
388 MOVE 22 2
389 MOVE 15 9
390 MOVE 11 9
